Parent_name,Gram_stain,Motility,Cell_shape,Culture_temperature_range,Oxygen_tolerance,Spore_formation,Biosafety_level
Roseomonas riguiloci,negative,no,ovoid,mesophilic,NA,no,BSL-1
Roseomonas rubea,NA,NA,NA,NA,NA,NA,NA
Roseomonas rubra,negative,no,coccus,NA,NA,NA,NA
Roseomonas sediminicola,NA,NA,NA,mesophilic,NA,NA,NA
Roseomonas selenitidurans,NA,NA,NA,NA,NA,NA,NA
Roseomonas soli,NA,NA,NA,NA,NA,NA,BSL-1
Roseomonas stagni,negative,NA,NA,mesophilic,NA,NA,BSL-1
Roseomonas suffusca,negative,yes,rod,mesophilic,NA,NA,NA
Roseomonas terpenica,NA,NA,NA,mesophilic,NA,NA,NA
Roseomonas terrae,negative,no,ovoid,NA,NA,no,NA
Roseomonas terricola,negative,no,rod,NA,NA,NA,NA
Roseomonas tokyonensis,NA,NA,NA,mesophilic,NA,NA,NA
Roseomonas vastitatis,NA,NA,NA,NA,NA,NA,NA
Roseomonas vinacea,negative,no,rod,mesophilic,NA,no,BSL-1
Roseomonas wenyumeiae,negative,yes,coccus,mesophilic,NA,NA,NA
Roseomonas wooponensis,NA,NA,NA,mesophilic,NA,NA,NA
Roseospira goensis,negative,yes,spiral,mesophilic,NA,NA,BSL-1
Roseospira marina,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseospira navarrensis,NA,NA,NA,NA,NA,NA,BSL-1
Roseospira visakhapatnamensis,negative,no,NA,mesophilic,NA,NA,BSL-1
Roseospirillum parvum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius aestuarii,negative,yes,rod,mesophilic,NA,NA,BSL-1
Roseovarius aestuariivivens,negative,no,coccus,mesophilic,NA,NA,NA
Roseovarius albus,NA,NA,NA,mesophilic,NA,NA,NA
Roseovarius algicolus,NA,NA,NA,mesophilic,NA,NA,NA
Roseovarius amoyensis,negative,no,rod,NA,NA,NA,NA
Roseovarius antarcticus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius aquimarinus,NA,NA,NA,mesophilic,NA,NA,NA
Roseovarius arcticus,NA,NA,NA,NA,NA,NA,NA
Roseovarius atlanticus,negative,no,rod,NA,NA,no,NA
Roseovarius azorensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius carneus,NA,NA,NA,NA,NA,NA,NA
Roseovarius confluentis,negative,yes,rod,NA,NA,NA,NA
Roseovarius faecimaris,negative,no,rod,mesophilic,NA,NA,NA
Roseovarius gaetbuli,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius gahaiensis,NA,NA,NA,NA,NA,NA,NA
Roseovarius halotolerans,negative,no,rod,mesophilic,NA,NA,BSL-1
Roseovarius indicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius litoreus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius litorisediminis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius lutimaris,negative,yes,ovoid,mesophilic,NA,NA,BSL-1
Roseovarius marisflavi,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius mucosus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius nanhaiticus,negative,yes,ovoid,mesophilic,NA,no,BSL-1
Roseovarius nitratireducens,negative,no,rod,mesophilic,NA,no,NA
Roseovarius nubinhibens,NA,NA,NA,mesophilic,NA,NA,BSL-1
Roseovarius pacificus,negative,yes,rod,mesophilic,NA,no,BSL-1
Roseovarius pelophilus,NA,NA,NA,psychrophilic,NA,NA,NA
Roseovarius ramblicola,NA,NA,rod,NA,NA,NA,NA
Roseovarius salinarum,negative,no,rod,psychrophilic,NA,NA,NA
Roseovarius scapharcae,NA,NA,NA,NA,NA,NA,BSL-1
Roseovarius spongiae,NA,NA,NA,NA,NA,NA,NA
Roseovarius tibetensis,NA,NA,NA,NA,NA,NA,NA
Roseovarius tolerans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rosistilla carotiformis,negative,yes,NA,NA,NA,NA,NA
Rosistilla oblonga,NA,NA,NA,NA,NA,NA,NA
Rosistilla ulvae,NA,NA,NA,mesophilic,NA,NA,NA
Rossellomorea arthrocnemi,NA,NA,NA,mesophilic,NA,NA,NA
Rossellomorea marisflavi,positive,yes,rod,mesophilic,NA,yes,BSL-1
Rossellomorea oryzaecorticis,NA,NA,NA,mesophilic,NA,NA,NA
Rossellomorea vietnamensis,positive,yes,rod,mesophilic,NA,yes,BSL-1
Rothia aeria,NA,NA,NA,mesophilic,NA,NA,NA
Rothia aerolata,positive,NA,rod,mesophilic,NA,no,BSL-1
Rothia amarae,NA,NA,NA,mesophilic,NA,NA,NA
Rothia dentocariosa,NA,NA,NA,mesophilic,NA,NA,NA
Rothia endophytica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rothia halotolerans,positive,no,coccus,mesophilic,NA,no,BSL-1
Rothia koreensis,positive,no,coccus,mesophilic,NA,NA,BSL-1
Rothia kristinae,NA,NA,NA,mesophilic,NA,NA,NA
Rothia marina,positive,NA,NA,mesophilic,NA,NA,NA
Rothia mucilaginosa,NA,NA,NA,mesophilic,microaerophile,NA,NA
Rothia nasimurium,NA,NA,NA,mesophilic,microaerophile,NA,NA
Rothia nasisuis,NA,NA,NA,mesophilic,NA,NA,NA
Rothia terrae,NA,NA,NA,mesophilic,NA,NA,NA
Rouxiella aceris,NA,NA,NA,NA,NA,NA,NA
Rouxiella badensis,negative,NA,rod,NA,NA,NA,BSL-1
Rouxiella chamberiensis,NA,NA,NA,mesophilic,NA,NA,NA
Rouxiella silvae,negative,NA,rod,mesophilic,NA,NA,BSL-1
Ruania alba,positive,NA,NA,mesophilic,NA,NA,BSL-1
Ruania albidiflava,positive,no,coccus,mesophilic,NA,no,BSL-1
Ruania alkalisoli,NA,NA,NA,NA,NA,NA,NA
Ruania halotolerans,NA,NA,NA,NA,NA,NA,NA
Ruania rhizosphaerae,NA,NA,NA,mesophilic,NA,NA,NA
Ruania suaedae,NA,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,NA,NA,NA,NA,NA,NA,NA
Rubellimicrobium aerolatum,negative,no,rod,mesophilic,NA,no,BSL-1
Rubellimicrobium mesophilum,negative,yes,rod,mesophilic,NA,no,BSL-1
Rubellimicrobium roseum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubellimicrobium rubrum,NA,NA,NA,NA,NA,NA,NA
Rubellimicrobium thermophilum,negative,yes,rod,thermophilic,NA,no,BSL-1
Rubeoparvulum massiliense,NA,NA,NA,mesophilic,NA,NA,NA
Rubidibacter lacunae,NA,no,rod,mesophilic,NA,no,NA
Rubinisphaera brasiliensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubinisphaera italica,NA,NA,NA,NA,NA,NA,NA
Rubinisphaera margarita,NA,NA,NA,NA,NA,NA,NA
Rubneribacter badeniensis,NA,NA,NA,mesophilic,NA,NA,NA
Rubribacterium polymorphum,NA,NA,NA,NA,NA,NA,BSL-1
Rubricella aquisinus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubricoccus marinus,NA,NA,NA,NA,NA,NA,BSL-1
Rubrimonas cliftonensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubrimonas shengliensis,NA,NA,NA,mesophilic,NA,NA,NA
Rubripirellula amarantea,NA,NA,coccus,NA,NA,NA,NA
Rubripirellula lacrimiformis,NA,NA,NA,mesophilic,NA,NA,NA
Rubripirellula obstinata,NA,NA,NA,NA,NA,NA,BSL-1
Rubripirellula reticaptiva,negative,NA,coccus,NA,NA,NA,NA
Rubripirellula tenax,negative,NA,coccus,NA,NA,NA,NA
Rubritalea halochordaticola,NA,NA,NA,NA,NA,NA,BSL-1
Rubritalea marina,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubritalea profundi,negative,no,rod,psychrophilic,NA,NA,NA
Rubritalea sabuli,NA,NA,NA,NA,NA,NA,BSL-1
Rubritalea spongiae,negative,no,rod,NA,NA,NA,NA
Rubritalea squalenifaciens,negative,no,rod,mesophilic,NA,NA,BSL-1
Rubritalea tangerina,negative,no,rod,NA,NA,NA,NA
Rubritepida flocculans,NA,NA,NA,thermophilic,NA,NA,BSL-1
Rubrivirga marina,negative,no,rod,NA,NA,no,NA
Rubrivirga profundi,negative,no,rod,thermophilic,NA,NA,NA
Rubrivivax albus,NA,NA,NA,NA,NA,NA,NA
Rubrivivax benzoatilyticus,NA,NA,NA,mesophilic,NA,NA,NA
Rubrivivax gelatinosus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubrobacter aplysinae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubrobacter bracarensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rubrobacter calidifluminis,NA,NA,NA,thermophilic,NA,NA,NA
Rubrobacter indicoceani,positive,no,rod,mesophilic,NA,NA,NA
Rubrobacter marinus,NA,NA,NA,NA,NA,NA,NA
Rubrobacter naiadicus,NA,NA,NA,thermophilic,NA,NA,NA
Rubrobacter radiotolerans,positive,NA,NA,mesophilic,NA,NA,BSL-1
Rubrobacter spartanus,NA,NA,NA,thermophilic,NA,NA,BSL-1
Rubrobacter taiwanensis,positive,no,rod,NA,NA,no,NA
Rubrobacter tropicus,NA,NA,NA,NA,NA,NA,NA
Rubrobacter xylanophilus,positive,no,rod,thermophilic,NA,no,BSL-1
Ructibacterium gallinarum,NA,NA,NA,mesophilic,NA,NA,NA
Rudaea cellulosilytica,negative,yes,rod,mesophilic,NA,NA,BSL-1
Rudaeicoccus suwonensis,positive,no,coccus,mesophilic,NA,no,BSL-1
Rudaibacter terrae,positive,no,rod,NA,NA,no,NA
Rudanella lutea,negative,no,rod,mesophilic,NA,no,BSL-1
Rudanella paleaurantiibacter,negative,no,NA,NA,NA,no,NA
Ruegeria arenilitoris,NA,NA,NA,mesophilic,NA,NA,NA
Ruegeria atlantica,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Ruegeria conchae,negative,no,rod,mesophilic,NA,NA,BSL-1
Ruegeria denitrificans,negative,no,coccus,mesophilic,NA,NA,NA
Ruegeria faecimaris,negative,no,rod,mesophilic,NA,NA,BSL-1
Ruegeria haliotis,NA,NA,NA,NA,NA,NA,NA
Ruegeria intermedia,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruegeria lacuscaerulensis,NA,NA,NA,thermophilic,NA,NA,BSL-1
Ruegeria litorea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruegeria marina,negative,no,rod,mesophilic,NA,NA,BSL-1
Ruegeria marisrubri,negative,no,rod,NA,NA,no,NA
Ruegeria mediterranea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruegeria meonggei,NA,NA,NA,NA,NA,NA,BSL-1
Ruegeria pomeroyi,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruegeria profundi,negative,no,rod,NA,NA,NA,NA
Ruegeria sediminis,NA,NA,NA,NA,NA,NA,NA
Rufibacter glacialis,negative,no,rod,psychrophilic,NA,NA,NA
Rufibacter hautae,NA,NA,NA,NA,NA,NA,NA
Rufibacter immobilis,NA,NA,NA,NA,NA,NA,BSL-1
Rufibacter latericius,NA,NA,NA,NA,NA,NA,NA
Rufibacter roseus,NA,NA,NA,NA,NA,NA,BSL-1
Rufibacter ruber,negative,NA,rod,NA,NA,NA,NA
Rufibacter sediminis,negative,no,rod,NA,NA,NA,NA
Rufibacter soli,NA,NA,NA,mesophilic,NA,NA,NA
Ruficoccus amylovorans,negative,no,coccus,NA,NA,NA,NA
Rugamonas apoptosis,NA,NA,NA,NA,NA,NA,NA
Rugamonas aquatica,NA,NA,NA,NA,NA,NA,NA
Rugamonas brunnea,NA,NA,NA,NA,NA,NA,NA
Rugamonas fusca,NA,NA,NA,NA,NA,NA,NA
Rugamonas rivuli,NA,NA,NA,NA,NA,NA,NA
Rugamonas rubra,NA,NA,NA,NA,NA,NA,BSL-1
Rugamonas violacea,NA,NA,NA,NA,NA,NA,NA
Rugosibacter aromaticivorans,negative,no,rod,NA,NA,NA,BSL-1
Rugosimonospora acidiphila,positive,no,NA,mesophilic,NA,yes,BSL-1
Rugosimonospora africana,positive,no,NA,mesophilic,NA,yes,BSL-1
Ruminiclostridium cellulolyticum,positive,yes,rod,mesophilic,NA,yes,BSL-1
Ruminiclostridium herbifermentans,NA,NA,NA,thermophilic,NA,NA,NA
Ruminiclostridium hungatei,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruminiclostridium josui,NA,NA,NA,thermophilic,NA,NA,BSL-1
Ruminiclostridium papyrosolvens,NA,NA,NA,NA,NA,NA,NA
Ruminiclostridium sufflavum,negative,yes,rod,mesophilic,NA,yes,BSL-1
Ruminobacter amylophilus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruminococcoides bili,NA,NA,NA,mesophilic,NA,NA,NA
Ruminococcus albus,NA,NA,NA,NA,NA,NA,NA
Ruminococcus bovis,NA,NA,NA,NA,NA,NA,NA
Ruminococcus bromii,NA,NA,NA,NA,NA,NA,BSL-1
Ruminococcus callidus,NA,NA,NA,NA,NA,NA,BSL-1
Ruminococcus champanellensis,positive,no,coccus,mesophilic,NA,no,BSL-1
Ruminococcus flavefaciens,NA,NA,NA,NA,NA,NA,BSL-1
Ruminococcus gauvreauii,positive,no,coccus,mesophilic,NA,NA,BSL-1
Ruminococcus gnavus,NA,NA,NA,mesophilic,NA,NA,NA
Ruminococcus lactaris,NA,NA,NA,NA,NA,NA,BSL-1
Ruminococcus torques,NA,NA,NA,mesophilic,NA,NA,NA
Rummeliibacillus pycnus,NA,NA,NA,mesophilic,NA,NA,NA
Rummeliibacillus stabekisii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Rummeliibacillus suwonensis,NA,NA,NA,mesophilic,NA,NA,NA
Runella aurantiaca,negative,no,rod,NA,NA,NA,NA
Runella defluvii,negative,no,rod,mesophilic,NA,NA,BSL-1
Runella limosa,NA,no,rod,mesophilic,NA,NA,BSL-1
Runella palustris,negative,no,NA,NA,NA,NA,NA
Runella rosea,NA,NA,NA,NA,NA,NA,NA
Runella slithyformis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Runella soli,NA,NA,NA,NA,NA,NA,NA
Runella zeae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Ruoffia halotolerans,NA,NA,NA,NA,NA,NA,NA
Rurimicrobium arvi,negative,no,rod,NA,NA,no,NA
Ruthenibacterium lactatiformans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Sabulibacter ruber,NA,NA,NA,NA,NA,NA,NA
Sabulilitoribacter arenilitoris,negative,no,rod,NA,NA,NA,NA
Sabulilitoribacter multivorans,NA,NA,NA,mesophilic,NA,NA,NA
Saccharedens versatilis,negative,yes,rod,NA,NA,NA,NA
Saccharibacillus deserti,positive,yes,rod,NA,NA,yes,NA
Saccharibacillus endophyticus,positive,no,rod,NA,NA,yes,BSL-1
Saccharibacillus kuerlensis,positive,yes,rod,mesophilic,NA,yes,BSL-1
Saccharibacillus qingshengii,positive,yes,rod,NA,NA,yes,NA
Saccharibacter floricola,negative,no,rod,mesophilic,NA,no,BSL-1
Saccharicrinis aurantiacus,negative,yes,rod,NA,NA,NA,NA
Saccharicrinis carchari,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharicrinis fermentans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharicrinis marinus,NA,NA,NA,NA,NA,NA,NA
Saccharobesus litoralis,NA,NA,NA,NA,NA,NA,NA
Saccharococcus thermophilus,NA,NA,NA,thermophilic,NA,NA,BSL-1
Saccharofermentans acetigenes,NA,NA,NA,mesophilic,NA,NA,NA
Saccharolobus caldissimus,NA,NA,coccus,hyperthermophilic,NA,NA,NA
Saccharolobus shibatae,NA,NA,NA,thermophilic,NA,NA,BSL-1
Saccharolobus solfataricus,NA,NA,NA,hyperthermophilic,NA,NA,BSL-1
Saccharomonospora amisosensis,positive,no,NA,mesophilic,NA,yes,BSL-1
Saccharomonospora azurea,NA,NA,NA,NA,NA,NA,NA
Saccharomonospora caesia,NA,NA,NA,mesophilic,NA,NA,NA
Saccharomonospora colocasiae,positive,NA,NA,NA,NA,yes,NA
Saccharomonospora cyanea,positive,NA,NA,mesophilic,NA,yes,BSL-1
Saccharomonospora glauca,NA,NA,NA,thermophilic,NA,NA,BSL-1
Saccharomonospora halophila,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharomonospora iraqiensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharomonospora marina,positive,no,rod,mesophilic,NA,yes,BSL-1
Saccharomonospora oceani,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharomonospora piscinae,positive,NA,NA,mesophilic,NA,no,NA
Saccharomonospora saliphila,positive,NA,NA,mesophilic,NA,yes,BSL-1
Saccharomonospora viridis,NA,NA,NA,NA,NA,NA,BSL-1
Saccharomonospora xiaoerkulensis,positive,NA,NA,NA,NA,yes,NA
Saccharomonospora xinjiangensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharophagus degradans,negative,yes,rod,mesophilic,NA,NA,BSL-1
Saccharopolyspora aidingensis,positive,no,NA,NA,NA,yes,NA
Saccharopolyspora antimicrobica,positive,no,NA,mesophilic,NA,yes,BSL-1
Saccharopolyspora aridisoli,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora cavernae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora cebuensis,positive,NA,NA,mesophilic,NA,yes,BSL-1
Saccharopolyspora dendranthemae,positive,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora deserti,positive,NA,NA,NA,NA,yes,NA
Saccharopolyspora elongata,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora erythraea,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora flava,positive,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora gloriosae,positive,no,NA,mesophilic,NA,yes,BSL-1
Saccharopolyspora gregorii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora griseoalba,NA,NA,NA,mesophilic,NA,NA,NA
Saccharopolyspora halophila,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora halotolerans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora hattusasensis,NA,NA,NA,mesophilic,NA,NA,NA
Saccharopolyspora hirsuta,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora hordei,NA,NA,NA,thermophilic,NA,NA,BSL-1
Saccharopolyspora indica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora karakumensis,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora kobensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora maritima,positive,no,NA,mesophilic,NA,yes,NA
Saccharopolyspora phatthalungensis,positive,no,NA,mesophilic,NA,yes,BSL-1
Saccharopolyspora qijiaojingensis,positive,NA,rod,mesophilic,NA,yes,BSL-1
Saccharopolyspora rectivirgula,NA,NA,NA,thermophilic,NA,NA,BSL-1
Saccharopolyspora rhizosphaerae,positive,NA,NA,NA,NA,yes,NA
Saccharopolyspora rosea,positive,NA,rod,mesophilic,NA,yes,BSL-1
Saccharopolyspora shandongensis,positive,no,NA,mesophilic,NA,yes,BSL-1
Saccharopolyspora soli,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora spinosa,NA,NA,NA,mesophilic,NA,yes,BSL-1
Saccharopolyspora spinosporotrichia,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharopolyspora spongiae,positive,NA,NA,mesophilic,NA,yes,NA
Saccharopolyspora subtropica,positive,no,NA,NA,NA,NA,BSL-1
Saccharopolyspora taberi,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora terrae,NA,NA,NA,NA,NA,NA,NA
Saccharopolyspora thermophila,NA,NA,NA,thermophilic,NA,NA,BSL-1
Saccharopolyspora tripterygii,positive,no,rod,mesophilic,NA,yes,BSL-1
Saccharospirillum aestuarii,negative,no,rod,NA,NA,NA,BSL-1
Saccharospirillum alexandrii,NA,NA,NA,NA,NA,NA,NA
Saccharospirillum correiae,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Saccharospirillum impatiens,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Saccharospirillum mangrovi,negative,yes,spiral,mesophilic,NA,no,NA
Saccharospirillum salsuginis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix algeriensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Saccharothrix australiensis,NA,NA,NA,NA,NA,NA,NA
Saccharothrix carnea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix coeruleofusca,NA,NA,NA,mesophilic,NA,yes,BSL-1
Saccharothrix deserti,NA,NA,NA,NA,NA,NA,NA
Saccharothrix ecbatanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix espanaensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix ghardaiensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix hoggarensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Saccharothrix isguenensis,positive,no,NA,NA,NA,yes,BSL-1
Saccharothrix longispora,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix lopnurensis,positive,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix luteola,NA,NA,NA,NA,NA,NA,NA
Saccharothrix obliqua,NA,NA,NA,NA,NA,NA,NA
Saccharothrix saharensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Saccharothrix stipae,NA,NA,NA,NA,NA,yes,NA
Saccharothrix syringae,NA,NA,NA,NA,NA,NA,NA
Saccharothrix tamanrassetensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix texasensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Saccharothrix variisporea,positive,NA,NA,mesophilic,NA,yes,BSL-1
Saccharothrix violaceirubra,positive,no,rod,mesophilic,NA,yes,BSL-1
Saccharothrix xinjiangensis,positive,NA,NA,mesophilic,NA,yes,BSL-1
Saezia sanguinis,NA,NA,NA,NA,NA,NA,NA
Sagittula marina,negative,no,rod,mesophilic,NA,NA,BSL-1
Sagittula salina,NA,NA,NA,mesophilic,NA,NA,NA
Sagittula stellata,negative,no,rod,mesophilic,NA,NA,BSL-1
Salana multivorans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salaquimonas pukyongi,negative,no,rod,mesophilic,NA,NA,NA
Salarchaeum japonicum,NA,NA,NA,mesophilic,NA,NA,NA
Salegentibacter agarivorans,negative,yes,rod,mesophilic,NA,no,BSL-1
Salegentibacter chungangensis,NA,NA,NA,mesophilic,NA,NA,NA
Salegentibacter echinorum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salegentibacter flavus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salegentibacter holothuriorum,negative,no,rod,mesophilic,NA,no,BSL-1
Salegentibacter lacus,NA,NA,NA,NA,NA,NA,NA
Salegentibacter maritimus,NA,NA,NA,NA,NA,NA,NA
Salegentibacter mishustinae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salegentibacter salarius,negative,no,rod,mesophilic,NA,NA,BSL-1
Salegentibacter salegens,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salegentibacter salinarum,negative,no,rod,mesophilic,NA,NA,BSL-1
Salegentibacter sediminis,negative,no,rod,mesophilic,NA,NA,NA
Salegentibacter tibetensis,NA,NA,NA,NA,NA,NA,NA
Salibacter halophilus,negative,no,rod,mesophilic,NA,no,NA
Salibacter luridus,NA,NA,NA,mesophilic,NA,NA,NA
Salibacterium aidingense,positive,yes,rod,mesophilic,NA,yes,BSL-1
Salibacterium halochares,positive,yes,rod,mesophilic,NA,no,BSL-1
Salibacterium lacus,positive,yes,rod,NA,NA,no,NA
Salibacterium nitratireducens,positive,no,rod,mesophilic,NA,no,NA
Salibacterium qingdaonense,positive,no,rod,mesophilic,NA,no,BSL-1
Salibacterium salarium,positive,no,rod,mesophilic,NA,NA,BSL-1
Salibaculum griseiflavum,NA,NA,NA,NA,NA,NA,NA
Salibaculum halophilum,NA,NA,NA,NA,NA,NA,NA
Salicibibacter cibarius,NA,NA,NA,mesophilic,NA,NA,NA
Salicibibacter cibi,NA,NA,NA,mesophilic,NA,NA,NA
Salicibibacter halophilus,NA,NA,NA,mesophilic,NA,NA,NA
Salicibibacter kimchii,NA,NA,NA,NA,NA,NA,NA
Salicola marasensis,negative,yes,rod,mesophilic,NA,no,NA
Salicola marensis,NA,NA,NA,mesophilic,NA,NA,NA
Salicola salis,NA,NA,NA,NA,NA,NA,BSL-1
Salidesulfovibrio brasiliensis,NA,NA,NA,mesophilic,NA,NA,NA
Salifodinibacter halophilus,NA,NA,NA,NA,NA,NA,NA
Salilacibacter albus,positive,NA,NA,NA,NA,NA,BSL-1
Salimesophilobacter vulgaris,positive,yes,rod,mesophilic,NA,no,BSL-1
Salimicrobium album,NA,NA,NA,mesophilic,NA,NA,NA
Salimicrobium halophilum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salimicrobium jeotgali,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salimicrobium luteum,positive,no,coccus,NA,NA,no,NA
Salimicrobium salexigens,NA,NA,NA,mesophilic,NA,NA,NA
Salinactinospora qingdaonensis,positive,NA,rod,mesophilic,NA,yes,BSL-1
Salinadaptatus halalkaliphilus,NA,NA,NA,mesophilic,NA,NA,NA
Salinarchaeum chitinilyticum,negative,yes,rod,thermophilic,NA,NA,NA
Salinarchaeum laminariae,NA,NA,NA,mesophilic,NA,NA,NA
Salinarimonas ramus,negative,yes,rod,mesophilic,NA,NA,BSL-1
Salinarimonas rosea,negative,yes,rod,mesophilic,NA,NA,BSL-1
Salinarimonas soli,NA,NA,NA,NA,NA,NA,NA
Salinibacillus aidingensis,NA,NA,NA,mesophilic,NA,NA,NA
Salinibacillus xinjiangensis,positive,no,rod,NA,NA,NA,NA
Salinibacter altiplanensis,NA,NA,NA,NA,NA,NA,NA
Salinibacter ruber,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salinibacterium amurskyense,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salinibacterium hongtaonis,NA,NA,NA,psychrophilic,NA,NA,NA
Salinibacterium xinjiangense,positive,no,rod,psychrophilic,NA,no,BSL-1
Salinibaculum litoreum,NA,NA,NA,mesophilic,NA,NA,NA
Salinibius halmophilus,NA,NA,NA,NA,NA,NA,NA
Salinicoccus albus,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus alkaliphilus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salinicoccus amylolyticus,positive,no,coccus,NA,NA,NA,NA
Salinicoccus carnicancri,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus cyprini,NA,NA,NA,NA,NA,NA,NA
Salinicoccus halitifaciens,NA,NA,NA,NA,NA,NA,BSL-1
Salinicoccus halodurans,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus hispanicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Salinicoccus iranensis,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus jeotgali,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus kekensis,NA,NA,NA,mesophilic,NA,NA,NA
Salinicoccus kunmingensis,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus luteus,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus qingdaonensis,positive,no,coccus,mesophilic,NA,no,BSL-1
Salinicoccus roseus,NA,NA,NA,NA,NA,NA,NA
Salinicoccus salitudinis,NA,NA,NA,mesophilic,NA,NA,NA
Salinicoccus salsiraiae,NA,NA,NA,mesophilic,NA,NA,BSL-1
