Sample,openai/gpt-5-nano,openai/gpt-5,x-ai/grok-4,perplexity/sonar-reasoning-pro,openai/gpt-oss-120b,openai/o1-mini,microsoft/phi-4,openai/o3,x-ai/grok-3-mini-beta,x-ai/grok-3-mini,deepseek/deepseek-chat,deepseek/deepseek-r1,x-ai/grok-3-beta,x-ai/grok-3,openai/o4-mini,openai/o3-mini,google/gemini-2.5-flash,openai/gpt-4,google/gemini-2.0-flash-lite-001,deepseek/deepseek-chat-v3-0324,openai/o3-mini-high,qwen/qwen3-14b,openai/gpt-4o-mini-search-preview,perplexity/r1-1776,openai/gpt-4.1-nano,mistralai/mistral-7b-instruct-v0.3,openai/gpt-4o,meta-llama/llama-3.3-70b-instruct,x-ai/grok-2-1212,anthropic/claude-3.7-sonnet:thinking,openai/gpt-oss-20b,deepseek/deepseek-r1-0528,nousresearch/hermes-3-llama-3.1-70b,google/gemini-2.5-pro,google/gemini-2.5-pro-preview,anthropic/claude-sonnet-4,perplexity/sonar,meta-llama/llama-4-scout,moonshotai/kimi-k2,anthropic/claude-3.5-sonnet,google/gemini-2.0-flash-001,openai/gpt-4.1,anthropic/claude-3.7-sonnet,deepseek/deepseek-chat-v3.1,google/gemini-2.5-flash-lite,meta-llama/llama-3-70b-instruct,openai/gpt-4o-mini,google/gemma-3-12b-it,google/gemma-3-4b-it,anthropic/claude-3.5-haiku,anthropic/claude-3-haiku:beta,meta-llama/llama-3.1-8b-instruct,google/gemma-3-27b-it,anthropic/claude-3-sonnet,mistralai/mistral-nemo,meta-llama/llama-3-8b-instruct,meta-llama/llama-3.2-3b-instruct
Glaciigenium thermoglucosidasius,Limited,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Moderate,NA,NA,Limited,Extensive,Moderate,Limited,NA,Limited,NA,NA,NA,Limited,Limited,Limited,NA,NA,NA,Extensive,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Extensive,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate
Caelumcoccus sporogenes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,Limited,NA,Limited,Limited,NA,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited
Lunabacter monocytogenes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,Extensive,NA,Limited,NA,Limited,Extensive,NA,Limited,Limited,NA,Moderate
Terrafermentum diphtheriae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate
Phosphoribacter salmonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,Limited,NA,NA,Moderate,Limited,NA,NA,Extensive,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,NA,Moderate,Limited,Limited,NA,Moderate
Oralevi gingivalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Extensive,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,Extensive,NA,NA,NA,Limited,NA,NA,Limited,Limited,NA,Limited,Extensive,Moderate,Limited,Limited,Moderate,Extensive,Extensive,Limited,Moderate,Moderate
Aestusbacter haemolyticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Limited
Nubibacter suis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Moderate
Calorella botulinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Extensive,NA,Limited,Limited,Extensive,Moderate,Moderate,Moderate,NA,Extensive,Moderate
Tenebrisoma palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,Limited,Limited,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Moderate
Polarisfermentum maltophilia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,Limited,NA,Inference Failed,NA,NA,NA,Moderate,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate
Salumispira marcescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,Moderate,Moderate,NA,Extensive,Limited,Moderate,Extensive,Limited,Moderate,Moderate
Nocticella legionellae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,NA,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate
Firmamentibacter cloacae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,NA,NA,Limited,NA,Moderate,Limited,Limited,NA,Limited,Limited,Limited,NA,Extensive,Extensive,NA,NA,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Extensive,Moderate,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Moderate
