binomial_name,Anthropic claude-sonnet-4,Google gemini-2.5-flash-lite,OpenAI gpt-4o,DeepSeek deepseek-chat-v3-0324,OpenAI gpt-oss-20b,OpenAI gpt-oss-120b,xAI grok-3-mini,OpenAI gpt-4.1-nano,OpenAI gpt-5,OpenAI gpt-4,OpenAI gpt-5-nano
staphylococcus caledonicus,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
staphylococcus canis,moderate,limited,NA,moderate,moderate,moderate,moderate,extensive,NA,limited,moderate
staphylococcus capitis,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus caprae,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,moderate,moderate,moderate
staphylococcus carnosus,moderate,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus casei,limited,limited,limited,limited,limited,NA,NA,moderate,NA,NA,NA
staphylococcus chromogenes,moderate,extensive,moderate,moderate,extensive,moderate,moderate,extensive,extensive,NA,moderate
staphylococcus coagulans,limited,limited,limited,NA,limited,NA,NA,moderate,NA,NA,NA
staphylococcus condimenti,limited,limited,moderate,moderate,limited,limited,moderate,moderate,moderate,limited,limited
staphylococcus cornubiensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
staphylococcus croceilyticus,limited,limited,limited,NA,NA,NA,limited,NA,NA,limited,NA
staphylococcus debuckii,limited,limited,limited,limited,limited,limited,NA,moderate,limited,NA,NA
staphylococcus delphini,limited,limited,limited,moderate,extensive,extensive,moderate,extensive,moderate,limited,moderate
staphylococcus devriesei,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
staphylococcus durrellii,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA,NA
staphylococcus edaphicus,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited
staphylococcus epidermidis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
staphylococcus equorum,moderate,limited,moderate,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate
staphylococcus felis,moderate,limited,limited,moderate,limited,limited,moderate,moderate,moderate,limited,limited
staphylococcus gallinarum,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,NA
staphylococcus haemolyticus,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus hominis,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus hyicus,moderate,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus kloosii,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,NA,NA
staphylococcus lloydii,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA
staphylococcus lugdunensis,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus marylandisciuri,moderate,limited,NA,NA,NA,NA,NA,NA,NA,NA,NA
staphylococcus microti,limited,limited,limited,limited,limited,limited,moderate,NA,moderate,limited,NA
staphylococcus muscae,limited,limited,limited,NA,limited,limited,NA,NA,NA,limited,NA
staphylococcus nepalensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,moderate
staphylococcus pasteuri,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
staphylococcus petrasii,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
staphylococcus pettenkoferi,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,moderate
staphylococcus piscifermentans,limited,limited,limited,limited,limited,moderate,limited,extensive,limited,NA,limited
staphylococcus pragensis,limited,limited,limited,limited,limited,limited,limited,moderate,NA,NA,NA
staphylococcus pseudintermedius,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus pseudoxylosus,limited,limited,limited,limited,moderate,limited,moderate,extensive,limited,limited,limited
staphylococcus ratti,limited,limited,limited,limited,limited,limited,limited,moderate,NA,NA,NA
staphylococcus rostri,limited,limited,limited,NA,limited,limited,moderate,moderate,moderate,NA,NA
staphylococcus roterodami,limited,limited,limited,NA,limited,NA,NA,NA,limited,NA,NA
staphylococcus saccharolyticus,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited
staphylococcus saprophyticus,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus schleiferi,moderate,extensive,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate,moderate
staphylococcus schweitzeri,moderate,limited,limited,limited,moderate,moderate,limited,extensive,moderate,limited,limited
staphylococcus shinii,limited,limited,NA,limited,NA,limited,moderate,NA,NA,limited,NA
staphylococcus simulans,moderate,moderate,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,extensive
staphylococcus singaporensis,limited,limited,limited,limited,limited,limited,limited,moderate,NA,NA,NA
staphylococcus taiwanensis,limited,limited,limited,limited,limited,limited,limited,moderate,NA,NA,NA
staphylococcus ureilyticus,limited,limited,limited,limited,limited,moderate,moderate,moderate,NA,limited,NA
staphylococcus warneri,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
staphylococcus xylosus,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
stenotrophomonas chelatiphaga,limited,limited,limited,limited,limited,,moderate,moderate,limited,NA,limited
stenotrophomonas geniculata,limited,moderate,limited,limited,limited,limited,NA,extensive,NA,NA,NA
stenotrophomonas maltophilia,extensive,extensive,extensive,extensive,,extensive,extensive,extensive,extensive,extensive,extensive
stenotrophomonas pavanii,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,moderate
stenotrophomonas rhizophila,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,moderate
stenotrophomonas tumulicola,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,NA
stigmatella aurantiaca,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,moderate
stigmatella erecta,limited,limited,limited,moderate,moderate,limited,moderate,extensive,limited,NA,NA
stigmatella hybrida,limited,limited,limited,limited,moderate,NA,NA,moderate,NA,NA,limited
stomatobaculum longum,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
streptococcus agalactiae,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus azizii,limited,limited,limited,NA,limited,limited,limited,NA,NA,NA,NA
streptococcus bovimastitidis,limited,NA,limited,limited,limited,NA,NA,NA,NA,limited,NA
streptococcus canis,moderate,moderate,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,moderate
streptococcus catagoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
streptococcus caviae,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA
streptococcus constellatus,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus criceti,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
streptococcus cristatus,moderate,limited,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,moderate
streptococcus danieliae,limited,limited,limited,limited,limited,NA,NA,NA,limited,limited,NA
streptococcus dentiloxodontae,NA,limited,limited,NA,NA,NA,NA,NA,limited,limited,NA
streptococcus devriesei,limited,limited,limited,limited,limited,NA,limited,moderate,limited,limited,limited
streptococcus didelphis,limited,limited,limited,NA,limited,NA,limited,NA,limited,NA,NA
streptococcus downii,limited,moderate,limited,NA,limited,NA,NA,limited,limited,NA,limited
streptococcus dysgalactiae,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus entericus,NA,limited,NA,NA,moderate,NA,NA,NA,NA,NA,NA
streptococcus equi,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus ferus,limited,limited,limited,moderate,limited,limited,limited,limited,limited,NA,NA
streptococcus gallolyticus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus gordonii,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus himalayensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
streptococcus hongkongensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
streptococcus hyointestinalis,limited,moderate,moderate,moderate,moderate,limited,NA,extensive,limited,limited,NA
streptococcus ilei,limited,limited,NA,NA,limited,NA,NA,NA,NA,limited,NA
streptococcus infantarius,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,moderate
streptococcus infantis,limited,limited,limited,moderate,limited,moderate,moderate,moderate,moderate,NA,NA
streptococcus iniae,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus intermedius,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus lactarius,limited,NA,limited,moderate,limited,NA,NA,NA,NA,NA,NA
streptococcus loxodontisalivarius,limited,limited,limited,limited,limited,NA,NA,NA,limited,limited,NA
streptococcus lutetiensis,limited,moderate,moderate,moderate,limited,moderate,moderate,extensive,moderate,limited,NA
streptococcus macedonicus,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
streptococcus marimammalium,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
streptococcus mitis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus mutans,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus oricebi,limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
streptococcus orisasini,limited,NA,NA,NA,NA,NA,NA,moderate,limited,NA,limited
streptococcus parasanguinis,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus parasuis,NA,extensive,limited,moderate,limited,NA,NA,NA,moderate,NA,NA
streptococcus parauberis,moderate,moderate,moderate,moderate,moderate,moderate,extensive,extensive,extensive,moderate,limited
streptococcus pasteurianus,NA,moderate,limited,moderate,moderate,moderate,NA,extensive,extensive,moderate,limited
streptococcus penaeicida,limited,NA,limited,limited,limited,limited,moderate,NA,NA,limited,NA
streptococcus phocae,limited,limited,limited,moderate,NA,moderate,moderate,extensive,moderate,moderate,moderate
streptococcus pluranimalium,limited,limited,limited,moderate,moderate,moderate,moderate,extensive,moderate,limited,limited
streptococcus pneumoniae,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus porcinus,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,moderate
streptococcus porcorum,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,limited
streptococcus pyogenes,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus respiraculi,limited,limited,limited,NA,NA,NA,NA,NA,NA,NA,NA
streptococcus rubneri,limited,limited,limited,limited,limited,limited,NA,moderate,NA,limited,limited
streptococcus rupicaprae,limited,limited,limited,NA,limited,limited,limited,limited,limited,limited,limited
streptococcus salivarius,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus saliviloxodontae,NA,NA,limited,NA,NA,NA,NA,NA,limited,limited,NA
streptococcus suis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus thermophilus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptococcus toyakuensis,limited,limited,limited,limited,limited,NA,NA,limited,NA,limited,NA
streptococcus troglodytidis,limited,limited,limited,NA,limited,NA,limited,moderate,NA,NA,NA
streptococcus uberis,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptococcus vicugnae,limited,limited,limited,NA,limited,NA,limited,limited,limited,NA,NA
streptomyces acidiscabies,moderate,extensive,moderate,moderate,extensive,extensive,extensive,moderate,moderate,moderate,moderate
streptomyces adustus,limited,moderate,limited,moderate,limited,,extensive,moderate,limited,limited,NA
streptomyces africanus,limited,moderate,limited,moderate,limited,moderate,moderate,extensive,limited,limited,limited
streptomyces alanosinicus,limited,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,NA,NA
streptomyces albaduncus,limited,limited,limited,moderate,moderate,limited,NA,moderate,limited,NA,NA
streptomyces albidochromogenes,moderate,extensive,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,NA
streptomyces albidoflavus,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,extensive,moderate,moderate
streptomyces albiflavescens,moderate,limited,limited,moderate,limited,limited,moderate,moderate,NA,NA,NA
streptomyces albiflaviniger,limited,moderate,limited,NA,limited,moderate,NA,moderate,NA,NA,NA
streptomyces alboflavus,moderate,extensive,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate,limited
streptomyces albogriseolus,limited,extensive,limited,moderate,moderate,moderate,moderate,extensive,moderate,moderate,NA
streptomyces alboniger,moderate,extensive,moderate,moderate,moderate,moderate,extensive,extensive,moderate,NA,moderate
streptomyces albospinus,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,limited,NA,NA
streptomyces alfalfae,limited,limited,limited,moderate,limited,limited,moderate,moderate,moderate,NA,NA
streptomyces althioticus,limited,extensive,limited,limited,moderate,limited,NA,moderate,moderate,NA,NA
streptomyces altiplanensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,NA
streptomyces ambofaciens,extensive,extensive,moderate,moderate,extensive,moderate,extensive,extensive,extensive,moderate,moderate
streptomyces anthocyanicus,limited,limited,limited,limited,NA,limited,moderate,moderate,limited,limited,NA
streptomyces anulatus,limited,extensive,moderate,moderate,moderate,moderate,extensive,extensive,moderate,NA,moderate
streptomyces apricus,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
streptomyces aquilus,limited,limited,limited,moderate,limited,limited,NA,moderate,limited,NA,NA
streptomyces araujoniae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
streptomyces arcticus,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
streptomyces ardesiacus,limited,moderate,moderate,limited,limited,moderate,NA,moderate,limited,limited,NA
streptomyces arenae,limited,extensive,moderate,limited,limited,moderate,moderate,moderate,moderate,limited,limited
streptomyces asenjonii,limited,limited,limited,moderate,limited,limited,NA,extensive,limited,limited,NA
streptomyces asoensis,limited,limited,limited,moderate,limited,NA,moderate,moderate,NA,NA,NA
streptomyces atratus,moderate,moderate,limited,moderate,moderate,moderate,moderate,extensive,moderate,NA,limited
streptomyces atroolivaceus,moderate,extensive,moderate,limited,limited,moderate,extensive,moderate,moderate,NA,limited
streptomyces aurantiacus,moderate,extensive,limited,moderate,extensive,moderate,moderate,extensive,moderate,moderate,NA
streptomyces aurantiogriseus,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,moderate
streptomyces auratus,moderate,limited,limited,moderate,moderate,moderate,moderate,extensive,moderate,NA,NA
streptomyces aureocirculatus,limited,moderate,limited,limited,moderate,limited,moderate,moderate,limited,NA,NA
streptomyces aureoverticillatus,moderate,extensive,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,moderate
streptomyces aureus,NA,limited,NA,moderate,moderate,NA,NA,moderate,NA,NA,NA
streptomyces avermitilis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptomyces azureus,limited,extensive,limited,moderate,moderate,moderate,moderate,extensive,moderate,NA,limited
streptomyces bacillaris,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces badius,moderate,limited,limited,moderate,moderate,moderate,extensive,extensive,moderate,NA,NA
streptomyces bangladeshensis,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,limited,limited
streptomyces bauhiniae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
streptomyces bikiniensis,limited,extensive,moderate,limited,limited,moderate,moderate,extensive,moderate,moderate,limited
streptomyces bobili,limited,limited,limited,NA,limited,moderate,NA,moderate,NA,NA,NA
streptomyces boluensis,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
streptomyces bottropensis,limited,moderate,moderate,moderate,limited,moderate,moderate,extensive,moderate,NA,moderate
streptomyces brasiliensis,limited,limited,limited,moderate,moderate,moderate,moderate,extensive,limited,moderate,NA
streptomyces brevispora,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
streptomyces bullii,limited,moderate,limited,limited,limited,limited,NA,moderate,limited,NA,NA
streptomyces cadmiisoli,limited,limited,limited,limited,limited,,limited,NA,limited,limited,NA
streptomyces caeni,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces cahuitamycinicus,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,NA
streptomyces calvus,moderate,extensive,limited,moderate,moderate,moderate,extensive,moderate,limited,NA,moderate
streptomyces candidus,moderate,extensive,limited,moderate,moderate,moderate,extensive,extensive,moderate,NA,limited
streptomyces caniferus,limited,limited,limited,moderate,limited,limited,moderate,extensive,limited,NA,NA
streptomyces caniscabiei,moderate,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
streptomyces canus,moderate,extensive,moderate,moderate,moderate,limited,moderate,extensive,moderate,moderate,NA
streptomyces capillispiralis,limited,moderate,limited,limited,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces capitiformicae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
streptomyces carpinensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
streptomyces catenulae,moderate,moderate,limited,moderate,moderate,moderate,NA,extensive,moderate,NA,NA
streptomyces cellostaticus,limited,limited,limited,moderate,moderate,moderate,extensive,moderate,limited,NA,NA
streptomyces cellulosae,moderate,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,NA,NA
streptomyces chartreusis,moderate,extensive,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,extensive
streptomyces chattanoogensis,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,extensive
streptomyces chiangmaiensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
streptomyces chilikensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
streptomyces chromofuscus,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited
streptomyces chryseus,moderate,extensive,limited,limited,moderate,limited,moderate,moderate,moderate,NA,NA
streptomyces cinereoruber,moderate,extensive,limited,moderate,limited,moderate,extensive,moderate,moderate,NA,NA
streptomyces cinereospinus,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,limited,limited
streptomyces cinerochromogenes,moderate,moderate,limited,limited,moderate,,moderate,moderate,limited,moderate,NA
streptomyces cinnabarigriseus,limited,limited,limited,moderate,limited,limited,moderate,moderate,NA,NA,NA
streptomyces clavifer,moderate,limited,limited,moderate,moderate,moderate,NA,extensive,limited,NA,limited
streptomyces clavuligerus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptomyces coelicoflavus,moderate,moderate,limited,moderate,moderate,moderate,extensive,extensive,moderate,NA,NA
streptomyces coelicolor,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptomyces coeruleofuscus,moderate,moderate,limited,moderate,limited,moderate,extensive,moderate,limited,moderate,limited
streptomyces collinus,moderate,extensive,moderate,moderate,moderate,extensive,extensive,moderate,moderate,NA,limited
streptomyces coriariae,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,moderate
streptomyces cremeus,limited,moderate,limited,moderate,moderate,moderate,moderate,NA,moderate,NA,NA
streptomyces crystallinus,limited,limited,limited,limited,limited,moderate,moderate,extensive,limited,NA,NA
streptomyces cyaneofuscatus,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,moderate,NA,NA
streptomyces cyaneus,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,limited
streptomyces cylindrosporus,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited
streptomyces daghestanicus,limited,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,limited
streptomyces dangxiongensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
streptomyces deccanensis,limited,moderate,limited,moderate,limited,limited,moderate,limited,limited,limited,NA
streptomyces decoyicus,limited,limited,NA,NA,NA,NA,NA,moderate,limited,NA,NA
streptomyces dengpaensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
streptomyces deserti,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
streptomyces diastatochromogenes,moderate,moderate,moderate,moderate,limited,extensive,moderate,extensive,moderate,moderate,extensive
streptomyces djakartensis,limited,limited,limited,limited,limited,moderate,extensive,extensive,moderate,limited,limited
streptomyces drozdowiczii,limited,limited,moderate,limited,limited,moderate,moderate,moderate,limited,limited,NA
streptomyces durmitorensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
streptomyces durocortorensis,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
streptomyces echinatus,limited,moderate,limited,moderate,limited,moderate,extensive,moderate,moderate,NA,NA
streptomyces enissocaesilis,limited,moderate,limited,moderate,limited,NA,NA,moderate,limited,limited,NA
streptomyces erythrogriseus,moderate,extensive,limited,moderate,moderate,extensive,extensive,extensive,moderate,NA,moderate
streptomyces europaeiscabiei,limited,limited,limited,NA,limited,moderate,moderate,moderate,moderate,NA,limited
streptomyces eurythermus,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces exfoliatus,moderate,extensive,moderate,moderate,limited,moderate,extensive,extensive,moderate,moderate,NA
streptomyces fabae,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,NA,limited
streptomyces fagopyri,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
streptomyces filamentosus,moderate,extensive,limited,moderate,limited,moderate,extensive,moderate,moderate,NA,NA
streptomyces finlayi,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
streptomyces flaveolus,moderate,extensive,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,NA
streptomyces flavofungini,limited,moderate,limited,limited,moderate,limited,NA,moderate,NA,NA,NA
streptomyces flavovariabilis,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces flavovirens,limited,extensive,limited,moderate,moderate,moderate,extensive,extensive,moderate,NA,NA
streptomyces formicae,limited,limited,moderate,moderate,moderate,moderate,limited,extensive,moderate,limited,moderate
streptomyces fragilis,limited,limited,limited,moderate,limited,moderate,moderate,extensive,limited,NA,NA
streptomyces fructofermentans,limited,limited,limited,moderate,limited,limited,moderate,moderate,moderate,NA,NA
streptomyces fulvorobeus,limited,limited,limited,moderate,limited,NA,NA,moderate,limited,NA,NA
streptomyces fumanus,limited,extensive,limited,limited,limited,limited,NA,moderate,moderate,NA,NA
streptomyces fumigatiscleroticus,limited,limited,limited,limited,limited,limited,NA,moderate,limited,limited,NA
streptomyces gancidicus,limited,moderate,limited,limited,limited,NA,NA,moderate,moderate,NA,NA
streptomyces gelaticus,limited,extensive,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,NA
streptomyces geranii,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
streptomyces geysiriensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
streptomyces glaucescens,extensive,extensive,moderate,extensive,moderate,moderate,extensive,moderate,moderate,moderate,NA
streptomyces glebosus,moderate,moderate,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces gougerotii,limited,moderate,limited,moderate,limited,limited,NA,moderate,NA,NA,NA
streptomyces graminearus,limited,limited,limited,limited,NA,moderate,NA,moderate,NA,NA,NA
streptomyces graminifolii,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,NA
streptomyces graminilatus,limited,limited,limited,limited,limited,,moderate,moderate,NA,limited,NA
streptomyces griseiscabiei,moderate,limited,moderate,limited,extensive,moderate,extensive,moderate,limited,moderate,NA
streptomyces griseoaurantiacus,moderate,limited,limited,limited,moderate,moderate,extensive,extensive,limited,NA,NA
streptomyces griseochromogenes,moderate,extensive,moderate,moderate,moderate,extensive,moderate,extensive,moderate,moderate,moderate
streptomyces griseoflavus,moderate,extensive,moderate,moderate,moderate,extensive,moderate,extensive,moderate,NA,NA
streptomyces griseoincarnatus,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,moderate,NA,NA
streptomyces griseoloalbus,moderate,moderate,limited,moderate,moderate,moderate,moderate,extensive,limited,NA,NA
streptomyces griseorubens,limited,moderate,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate,extensive
streptomyces griseorubiginosus,moderate,moderate,limited,limited,limited,moderate,extensive,moderate,moderate,NA,limited
streptomyces griseus,extensive,extensive,extensive,extensive,,extensive,extensive,extensive,extensive,extensive,extensive
streptomyces gulbargensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
streptomyces guryensis,limited,limited,limited,limited,limited,NA,moderate,moderate,NA,NA,NA
streptomyces halstedii,limited,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,NA
streptomyces hayashii,limited,moderate,limited,limited,moderate,limited,moderate,moderate,NA,NA,limited
streptomyces heilongjiangensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
streptomyces heliomycini,limited,limited,limited,moderate,moderate,moderate,NA,moderate,limited,NA,limited
streptomyces hilarionis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
streptomyces hokutonensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
streptomyces huasconensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
streptomyces humidus,moderate,moderate,limited,moderate,limited,moderate,moderate,moderate,moderate,limited,NA
streptomyces hydrogenans,limited,limited,moderate,moderate,limited,moderate,moderate,extensive,moderate,NA,NA
streptomyces hygroscopicus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
streptomyces indoligenes,limited,limited,limited,moderate,limited,limited,NA,moderate,NA,NA,NA
streptomyces inhibens,limited,extensive,limited,limited,moderate,limited,NA,moderate,NA,NA,NA
streptomyces intermedius,moderate,extensive,limited,moderate,moderate,moderate,moderate,moderate,moderate,NA,NA
streptomyces ipomoeae,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,moderate,NA,limited
streptomyces javensis,limited,moderate,limited,limited,limited,,moderate,moderate,limited,NA,NA
streptomyces jeddahensis,limited,limited,limited,limited,limited,,moderate,moderate,limited,limited,limited
streptomyces jietaisiensis,limited,limited,limited,limited,limited,limited,NA,moderate,moderate,limited,NA
streptomyces kaempferi,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
streptomyces kanamyceticus,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
streptomyces koyangensis,limited,moderate,moderate,limited,limited,moderate,moderate,extensive,moderate,limited,limited
streptomyces kronopolitis,NA,limited,NA,limited,limited,limited,NA,moderate,limited,NA,NA
streptomyces krungchingensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
streptomyces kurssanovii,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
streptomyces labedae,limited,limited,moderate,limited,limited,moderate,moderate,moderate,limited,NA,limited
