binomial_name	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape	agg_tier	agg_mean	agg_n_ordinal	agg_na_frac	agg_max	agg_min	agg_mode
Micromonospora maritima	moderate	NA	moderate	limited	limited	NA	NA	limited	limited	NA	limited	limited	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Micromonospora avicenniae	moderate	NA	NA	limited	limited	NA	NA	limited	NA	NA	limited	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Bradyrhizobium ferriligni	moderate	limited	moderate	NA	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Mycolicibacterium septicum	extensive	limited	moderate	limited	moderate	limited	limited	limited	limited	NA	NA	limited	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Mesorhizobium waimense	moderate	NA	limited	limited	limited	limited	NA	limited	NA	NA	limited	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Clostridium thailandense	moderate	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	limited	limited	limited	0.0000	3	0.7500	limited	limited	limited
Helicobacter cynogastricus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Micromonospora taraxaci	limited	NA	NA	NA	limited	NA	NA	NA	limited	limited	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Achromobacter aloeverae	limited	NA	moderate	NA	limited	limited	NA	limited	NA	NA	NA	NA	moderate	limited	0.4000	5	0.5833	moderate	limited	limited
Paenibacillus relictisesami	limited	NA	moderate	NA	limited	limited	NA	limited	NA	NA	limited	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Pseudomonas huaxiensis	moderate	NA	limited	NA	limited	NA	NA	limited	limited	NA	NA	limited	limited	limited	0.0000	6	0.5000	limited	limited	limited
Haloferax chudinovii	moderate	NA	NA	NA	moderate	limited	NA	limited	NA	NA	NA	NA	limited	limited	0.2500	4	0.6667	moderate	limited	limited
Pseudomonas lalucatii	NA	NA	limited	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Bradyrhizobium quebecense	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Agromyces salentinus	limited	limited	NA	limited	limited	limited	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	6	0.5000	limited	limited	limited
Bifidobacterium vansinderenii	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.0833	12	0.0000	moderate	limited	limited
Pseudomonas quebecensis	moderate	NA	NA	NA	limited	NA	NA	limited	NA	NA	limited	limited	NA	limited	0.0000	4	0.6667	limited	limited	limited
Dietzia aurantiaca	moderate	limited	moderate	moderate	limited	limited	NA	limited	limited	NA	NA	limited	moderate	limited	0.3333	9	0.2500	moderate	limited	limited
Shewanella psychromarinicola	NA	NA	NA	limited	limited	NA	NA	limited	NA	limited	NA	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Bradyrhizobium kavangense	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Pseudomonas insulae	moderate	limited	moderate	NA	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Pseudomonas petroselini	moderate	NA	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.0909	11	0.0833	moderate	limited	limited
Vibrio syngnathi	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	3	0.7500	limited	limited	limited
Rodentibacter ratti	moderate	NA	moderate	limited	limited	NA	limited	limited	limited	NA	limited	NA	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Galbibacter marinus	moderate	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Paraburkholderia metrosideri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Eikenella exigua	limited	NA	NA	NA	limited	limited	limited	limited	limited	NA	NA	NA	NA	limited	0.0000	5	0.5833	limited	limited	limited
Nocardia sienata	NA	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Pseudomonas paraversuta	moderate	NA	limited	NA	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.0000	9	0.2500	limited	limited	limited
Aeromonas lacus	moderate	NA	moderate	NA	limited	NA	limited	limited	NA	NA	limited	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Nocardia xishanensis	limited	NA	moderate	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.2500	4	0.6667	moderate	limited	limited
Mycetocola zhujimingii	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Acinetobacter terrae	moderate	limited	NA	limited	limited	NA	limited	limited	limited	NA	limited	limited	limited	limited	0.0000	9	0.2500	limited	limited	limited
Alteromonas aestuariivivens	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	NA	NA	NA	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Bacteroides zhangwenhongii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Agromyces lapidis	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Listeria immobilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Methylomonas lenta	moderate	limited	limited	moderate	limited	limited	NA	limited	limited	NA	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Veillonella caviae	moderate	NA	moderate	limited	limited	NA	limited	limited	limited	NA	NA	NA	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Parageobacillus galactosidasius	moderate	limited	moderate	moderate	moderate	NA	limited	limited	limited	NA	NA	limited	moderate	limited	0.4444	9	0.2500	moderate	limited	limited
Microbulbifer maritimus	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pseudomonas zanjanensis	moderate	NA	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Pseudomonas atagonensis	extensive	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	limited	limited	limited	0.0000	11	0.0833	limited	limited	limited
Shewanella glacialipiscicola	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	limited	NA	limited	0.0000	3	0.7500	limited	limited	limited
Proteus faecis	moderate	NA	limited	NA	NA	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Thiomonas bhubaneswarensis	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Paraburkholderia ginsengiterrae	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	NA	moderate	limited	0.2222	9	0.2500	moderate	limited	limited
Photobacterium sanctipauli	moderate	NA	moderate	moderate	moderate	limited	limited	limited	limited	limited	NA	NA	moderate	limited	0.4444	9	0.2500	moderate	limited	limited
Myroides albus	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	limited	NA	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Microbacterium insulae	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	NA	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Caballeronia concitans	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pseudarthrobacter polychromogenes	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Mesorhizobium shonense	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	limited	limited	limited	0.1667	12	0.0000	moderate	limited	limited
Chromobacterium sphagni	moderate	limited	moderate	limited	limited	NA	limited	limited	limited	NA	limited	NA	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Cytobacillus horneckiae	moderate	limited	moderate	limited	moderate	limited	limited	limited	limited	NA	NA	limited	limited	limited	0.2000	10	0.1667	moderate	limited	limited
Vibrio cortegadensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Kaistia granuli	moderate	moderate	moderate	moderate	limited	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Enterococcus olivae	moderate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Hoeflea halophila	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Catellatospora coxensis	limited	NA	moderate	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	limited	0.3333	3	0.7500	moderate	limited	limited
Paraburkholderia rhynchosiae	moderate	NA	moderate	NA	limited	NA	NA	limited	NA	NA	limited	NA	limited	limited	0.2000	5	0.5833	moderate	limited	limited
Trueperella pecoris	moderate	limited	moderate	NA	limited	limited	limited	limited	NA	NA	NA	NA	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Brucella pseudintermedia	moderate	limited	moderate	NA	limited	limited	limited	limited	limited	limited	NA	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Micromonospora polyrhachis	moderate	NA	moderate	limited	limited	limited	limited	limited	NA	NA	limited	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Marinobacterium sediminicola	moderate	NA	NA	limited	limited	limited	limited	limited	limited	NA	limited	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Kocuria gwangalliensis	limited	NA	moderate	NA	limited	NA	limited	limited	limited	NA	NA	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Xylanimonas allomyrinae	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Sphingobium vermicomposti	moderate	NA	moderate	limited	limited	limited	NA	limited	limited	NA	limited	NA	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Bradyrhizobium ganzhouense	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Mesorhizobium abyssinicae	moderate	NA	limited	limited	limited	NA	NA	limited	limited	NA	limited	limited	limited	limited	0.0000	8	0.3333	limited	limited	limited
Brucella lupini	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Lysinibacillus halotolerans	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Alteromonas gracilis	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Helicobacter himalayensis	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Xenorhabdus kozodoii	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	NA	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Listeria rustica	NA	NA	moderate	NA	NA	NA	NA	limited	NA	limited	NA	NA	limited	limited	0.2500	4	0.6667	moderate	limited	limited
Kribbella albertanoniae	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Helicobacter enhydrae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Alishewanella tabrizica	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Bartonella japonica	moderate	NA	limited	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Xenophilus aerolatus	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Vibrio galatheae	moderate	limited	limited	moderate	limited	limited	NA	limited	limited	NA	NA	NA	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Micromonospora schwarzwaldensis	NA	NA	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Micromonospora phytophila	moderate	NA	NA	limited	limited	NA	NA	limited	NA	NA	limited	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Paraburkholderia youngii	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Salinibacterium xinjiangense	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Nocardia shimofusensis	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Pannonibacter indicus	limited	NA	NA	limited	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Mycolicibacter virginiensis	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Sphingobium naphthae	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	3	0.7500	limited	limited	limited
Mesorhizobium onobrychidis	extensive	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Xenorhabdus ishibashii	moderate	NA	moderate	NA	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Rhodoglobus vestalii	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Kribbella italica	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	limited	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Guggenheimella bovis	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Helicobacter japonicus	moderate	limited	NA	moderate	limited	NA	limited	limited	limited	moderate	limited	NA	moderate	limited	0.3333	9	0.2500	moderate	limited	limited
Enterobacter siamensis	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Komagataeibacter swingsii	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Mesorhizobium tarimense	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Paraburkholderia susongensis	moderate	NA	moderate	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.2500	4	0.6667	moderate	limited	limited
Microbacterium algeriense	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.0833	12	0.0000	moderate	limited	limited
Brucella pecoris	extensive	limited	moderate	limited	limited	limited	moderate	limited	limited	moderate	NA	NA	limited	limited	0.3000	10	0.1667	moderate	limited	limited
Vibrio aphrogenes	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pseudomonas urmiensis	moderate	NA	limited	limited	limited	NA	NA	limited	limited	NA	limited	limited	moderate	limited	0.1250	8	0.3333	moderate	limited	limited
Williamsia herbipolensis	limited	NA	moderate	NA	limited	NA	NA	limited	NA	NA	limited	NA	NA	limited	0.2500	4	0.6667	moderate	limited	limited
Acinetobacter terrestris	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	limited	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Dokdonia eikasta	limited	NA	NA	NA	limited	limited	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Mycoplasma tullyi	NA	NA	limited	NA	limited	limited	limited	limited	NA	NA	NA	NA	limited	limited	0.0000	6	0.5000	limited	limited	limited
Sphingobium boeckii	moderate	limited	NA	limited	limited	NA	NA	limited	NA	limited	limited	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Luteimicrobium subarcticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Bifidobacterium canis	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Leifsonia kafniensis	NA	NA	moderate	NA	limited	NA	NA	limited	limited	limited	NA	limited	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Polynucleobacter acidiphobus	limited	limited	NA	NA	limited	limited	limited	limited	limited	NA	NA	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Rhodococcus oxybenzonivorans	moderate	limited	moderate	moderate	limited	NA	limited	limited	limited	limited	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Gordonia pseudamarae	limited	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Chryseobacterium ginsengisoli	limited	limited	moderate	limited	limited	limited	limited	limited	limited	NA	NA	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Alteromonas tagae	limited	NA	moderate	NA	limited	limited	NA	limited	limited	NA	limited	limited	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Paenibacillus melissococcoides	limited	NA	moderate	NA	limited	NA	NA	limited	NA	limited	NA	NA	limited	limited	0.2000	5	0.5833	moderate	limited	limited
Nonomuraea polychroma	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Bartonella jaculi	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Amycolatopsis acidicola	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Sphingobium mellinum	moderate	NA	limited	NA	limited	limited	NA	limited	limited	limited	limited	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Actinomadura litoris	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Mycolicibacterium wolinskyi	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Paracandidimonas soli	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Halogeometricum limi	limited	NA	NA	NA	moderate	NA	NA	limited	NA	NA	NA	NA	moderate	moderate	0.6667	3	0.7500	moderate	limited	moderate
Bradyrhizobium archetypum	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	limited	limited	NA	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Acinetobacter sichuanensis	limited	NA	limited	limited	limited	NA	NA	limited	limited	NA	NA	NA	limited	limited	0.0000	6	0.5000	limited	limited	limited
Bradyrhizobium ingae	moderate	limited	moderate	NA	NA	limited	limited	limited	NA	limited	limited	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Caballeronia hypogeia	limited	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Corallococcus aberystwythensis	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Bradyrhizobium australiense	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Desulfurispora thermophila	limited	NA	NA	limited	moderate	NA	NA	limited	NA	NA	NA	NA	NA	limited	0.3333	3	0.7500	moderate	limited	limited
Brachybacterium sacelli	limited	limited	moderate	limited	limited	limited	NA	limited	limited	NA	NA	limited	moderate	limited	0.2222	9	0.2500	moderate	limited	limited
Listeria valentina	moderate	NA	moderate	NA	limited	NA	NA	NA	limited	NA	NA	NA	NA	limited	0.3333	3	0.7500	moderate	limited	limited
Tatumella saanichensis	limited	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pararhizobium polonicum	limited	NA	moderate	limited	limited	limited	NA	limited	NA	NA	limited	NA	NA	limited	0.1667	6	0.5000	moderate	limited	limited
Caballeronia arationis	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Limosilactobacillus portuensis	moderate	NA	NA	limited	NA	NA	NA	limited	NA	NA	limited	limited	limited	limited	0.0000	5	0.5833	limited	limited	limited
Gluconacetobacter asukensis	moderate	NA	moderate	limited	limited	limited	NA	limited	NA	NA	limited	limited	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Corallococcus terminator	moderate	moderate	NA	NA	limited	limited	NA	limited	limited	limited	NA	limited	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Malacoplasma penetrans	limited	NA	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	nan	1	0.9167			
Mycolicibacter arupensis	moderate	NA	limited	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.1000	10	0.1667	moderate	limited	limited
Azospirillum griseum	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	NA	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Brachybacterium aquaticum	moderate	NA	moderate	NA	limited	NA	NA	limited	limited	NA	NA	limited	moderate	limited	0.3333	6	0.5000	moderate	limited	limited
Mycolicibacterium holsaticum	limited	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	NA	NA	limited	0.1000	10	0.1667	moderate	limited	limited
Mycolicibacterium fluoranthenivorans	moderate	NA	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.0000	11	0.0833	limited	limited	limited
Aquitalea pelogenes	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Caballeronia pedi	limited	NA	NA	NA	limited	NA	NA	limited	limited	limited	limited	NA	limited	limited	0.0000	6	0.5000	limited	limited	limited
Stutzerimonas kunmingensis	NA	NA	NA	NA	limited	NA	NA	NA	limited	NA	NA	NA	NA	NA	nan	2	0.8333			
Sphingobium rhizovicinum	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	limited	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Stutzerimonas decontaminans	moderate	NA	NA	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	nan	2	0.8333			
Pseudomonas khavaziana	NA	NA	limited	NA	NA	NA	NA	limited	limited	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Rhizobium croatiense	moderate	NA	moderate	limited	limited	limited	limited	limited	NA	NA	limited	limited	moderate	limited	0.2222	9	0.2500	moderate	limited	limited
Xenorhabdus eapokensis	limited	NA	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Flavobacterium circumlabens	NA	NA	limited	limited	NA	NA	limited	limited	limited	limited	NA	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Flavobacterium cupreum	limited	limited	limited	NA	limited	NA	NA	limited	limited	NA	limited	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Salipiger bermudensis	moderate	limited	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Flavobacterium aquariorum	moderate	NA	moderate	NA	limited	NA	limited	limited	limited	NA	limited	limited	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Oricola thermophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Azospirillum fermentarium	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Actinomadura apis	limited	NA	NA	NA	NA	NA	NA	limited	limited	NA	NA	NA	NA	NA	nan	2	0.8333			
Caballeronia ptereochthonis	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Bradyrhizobium algeriense	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	NA	limited	limited	0.2727	11	0.0833	moderate	limited	limited
Paenibacillus solani	moderate	NA	moderate	NA	limited	NA	limited	limited	limited	NA	NA	limited	moderate	limited	0.2857	7	0.4167	moderate	limited	limited
Rhodopseudomonas rhenobacensis	limited	NA	NA	NA	limited	limited	NA	limited	NA	NA	NA	limited	limited	limited	0.0000	5	0.5833	limited	limited	limited
Actinopolymorpha rutila	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pseudomonas peradeniyensis	limited	NA	limited	NA	limited	NA	NA	limited	NA	NA	limited	limited	limited	limited	0.0000	6	0.5000	limited	limited	limited
Streptococcus caviae	moderate	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	limited	limited	limited	0.0000	4	0.6667	limited	limited	limited
Paraburkholderia azotifigens	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	NA	limited	NA	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Chitinasiproducens palmae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Nocardia goodfellowii	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Brachybacterium halotolerans	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Paracidovorax avenae	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	NA	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Bacteroides koreensis	moderate	limited	moderate	limited	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Pseudochrobactrum kiredjianiae	NA	limited	NA	NA	limited	NA	NA	limited	limited	limited	limited	NA	NA	limited	0.0000	6	0.5000	limited	limited	limited
Xenorhabdus thuongxuanensis	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	nan	2	0.8333			
Caballeronia glebae	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Micromonospora craterilacus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Kutzneria viridogrisea	moderate	NA	moderate	limited	limited	NA	NA	limited	NA	NA	limited	limited	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Sphingomonas jeddahensis	limited	NA	moderate	NA	limited	NA	limited	limited	limited	NA	limited	limited	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Xylanimonas protaetiae	limited	limited	limited	NA	limited	NA	NA	NA	limited	NA	NA	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Xenorhabdus vietnamensis	limited	NA	moderate	limited	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.2000	5	0.5833	moderate	limited	limited
Xenorhabdus miraniensis	moderate	NA	moderate	limited	limited	NA	limited	limited	limited	NA	NA	NA	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Komagataeibacter melaceti	limited	limited	NA	limited	limited	NA	NA	limited	limited	NA	limited	NA	NA	limited	0.0000	6	0.5000	limited	limited	limited
